metric_x,metric_y,engine_x,engine_y,method,n_complete,estimate,p_value,p_fdr,abs_estimate,engine_pair
mp__participation_ratio_delta,latent__radius_delta,mp,latent,spearman,63,-0.3758639612116571,0.0023994366486179784,0.004548931979671583,0.3758639612116571,mp__latent
latent__centroid_distance,latent__anisotropy_delta,latent,latent,spearman,69,-0.35727287770974686,0.0025812174275255157,0.004793689508261672,0.35727287770974686,latent__latent
latent__eig_entropy_delta,latent__centroid_distance,latent,latent,spearman,69,0.32715538639748476,0.00607221180014522,0.0110514254762643,0.32715538639748476,latent__latent
mp__spectral_entropy_delta,latent__radius_delta,mp,latent,spearman,63,-0.321952209401547,0.010077679623950312,0.01798174207410742,0.321952209401547,mp__latent
mp__largest_eigenvalue_fraction_delta,latent__centroid_distance,mp,latent,spearman,63,-0.2864769753092439,0.022831420273882463,0.03920111782874159,0.2864769753092439,mp__latent
latent__pr_delta,latent__centroid_distance,latent,latent,spearman,69,0.2796072590876496,0.019977065411989754,0.034959864470982066,0.2796072590876496,latent__latent
entropy__shannon_delta,mp__excess_spectral_mass_delta,entropy,mp,spearman,75,-0.2483381152582974,0.03168788460211112,0.0533999536813354,0.2483381152582974,entropy__mp
latent__anisotropy_delta,latent__radius_delta,latent,latent,spearman,69,0.21848971261514702,0.07129169656564464,0.11795535249952113,0.21848971261514702,latent__latent
latent__pr_delta,latent__radius_delta,latent,latent,spearman,69,-0.21098791990733082,0.08181901536432123,0.13062334031847778,0.21098791990733082,latent__latent
complexity__composite_kappa_delta,mp__excess_spectral_mass_delta,complexity,mp,spearman,75,-0.20229387824800069,0.08176499778592124,0.13062334031847778,0.20229387824800069,complexity__mp
entropy__spectral_delta,mp__participation_ratio_delta,entropy,mp,spearman,75,-0.1939909798224468,0.09537986308776014,0.14964771622389952,0.1939909798224468,entropy__mp
complexity__composite_kappa_delta,entropy__spectral_delta,complexity,entropy,spearman,81,-0.18167851165772117,0.104539777800068,0.1612393183017998,0.18167851165772117,complexity__entropy
complexity__kappa_delta,mp__excess_spectral_mass_delta,complexity,mp,spearman,75,-0.1815749779434784,0.11898107057605764,0.1751681054958247,0.1815749779434784,complexity__mp
complexity__effrank_delta,mp__participation_ratio_delta,complexity,mp,spearman,75,-0.18139893125528578,0.11934530264550694,0.1751681054958247,0.18139893125528578,complexity__mp
mp__excess_spectral_mass_delta,latent__centroid_distance,mp,latent,spearman,63,-0.17633986946561267,0.1668221804105601,0.23173913048977574,0.17633986946561267,mp__latent
complexity__effrank_delta,complexity__composite_kappa_delta,complexity,complexity,spearman,81,-0.17625158751305103,0.11549711440433581,0.1751681054958247,0.17625158751305103,complexity__complexity
entropy__shannon_delta,entropy__spectral_delta,entropy,entropy,spearman,81,0.1693522881902412,0.1306812391778785,0.18876178992360226,0.1693522881902412,entropy__entropy
complexity__effrank_delta,entropy__shannon_delta,complexity,entropy,spearman,81,0.16590468664621905,0.1388162672263952,0.1973793799625307,0.16590468664621905,complexity__entropy
entropy__spectral_delta,mp__excess_spectral_mass_delta,entropy,mp,spearman,75,0.16082891210518335,0.1680745342013758,0.23173913048977574,0.16082891210518335,entropy__mp
complexity__kappa_delta,latent__centroid_distance,complexity,latent,spearman,69,0.15986800823664368,0.18946598832654463,0.2573344020554561,0.15986800823664368,complexity__latent
complexity__effrank_delta,latent__centroid_distance,complexity,latent,spearman,69,0.1450861317545779,0.2342568826420202,0.313490828241527,0.1450861317545779,complexity__latent
entropy__shannon_delta,latent__radius_delta,entropy,latent,spearman,69,-0.14210185316061721,0.24412253738578552,0.3173592986015212,0.14210185316061721,entropy__latent
complexity__effrank_delta,mp__excess_spectral_mass_delta,complexity,mp,spearman,75,0.137828456634097,0.238310941418642,0.3142941401318322,0.137828456634097,complexity__mp
latent__eig_entropy_delta,latent__radius_delta,latent,latent,spearman,69,-0.13762480004412822,0.2594515239388519,0.3325364602596553,0.13762480004412822,latent__latent
entropy__spectral_delta,latent__centroid_distance,entropy,latent,spearman,69,0.12658996190620947,0.2999681106085394,0.37912636201912614,0.12658996190620947,entropy__latent
mp__largest_eigenvalue_fraction_delta,latent__radius_delta,mp,latent,spearman,63,0.10230459831645834,0.4249554907469718,0.5297390364106087,0.10230459831645834,mp__latent
complexity__composite_kappa_delta,latent__centroid_distance,complexity,latent,spearman,69,0.09592813749597023,0.43298594267548807,0.5324556862631002,0.09592813749597023,complexity__latent
mp__excess_spectral_mass_delta,latent__radius_delta,mp,latent,spearman,63,0.09314658951545618,0.4677750447609663,0.5675670543099725,0.09314658951545618,mp__latent
entropy__spectral_delta,mp__largest_eigenvalue_fraction_delta,entropy,mp,spearman,75,0.08351717311798369,0.4762308861034449,0.5702238241501775,0.08351717311798369,entropy__mp
complexity__effrank_delta,mp__largest_eigenvalue_fraction_delta,complexity,mp,spearman,75,0.06462265755641851,0.5817535891999508,0.6819475522645357,0.06462265755641851,complexity__mp
entropy__spectral_delta,mp__spectral_entropy_delta,entropy,mp,spearman,75,-0.06401844660611634,0.5852967112503522,0.6819475522645357,0.06401844660611634,entropy__mp
complexity__kappa_delta,complexity__effrank_delta,complexity,complexity,spearman,81,-0.060430407104744004,0.5920204025153663,0.6819475522645357,0.060430407104744004,complexity__complexity
complexity__kappa_delta,entropy__spectral_delta,complexity,entropy,spearman,81,-0.05745659185991604,0.6104065577626272,0.6943374594549884,0.05745659185991604,complexity__entropy
complexity__effrank_delta,mp__spectral_entropy_delta,complexity,mp,spearman,75,-0.05418908751482054,0.6442616170236708,0.723800088261161,0.05418908751482054,complexity__mp
complexity__effrank_delta,latent__eig_entropy_delta,complexity,latent,spearman,69,0.05341223965478266,0.662922842601366,0.7356826667893209,0.05341223965478266,complexity__latent
entropy__spectral_delta,latent__eig_entropy_delta,entropy,latent,spearman,69,0.050313275705480706,0.6813963087597915,0.7470730614113378,0.050313275705480706,entropy__latent
entropy__spectral_delta,latent__pr_delta,entropy,latent,spearman,69,-0.04121874773539382,0.7366623334963232,0.7923882565599166,0.04121874773539382,entropy__latent
complexity__kappa_delta,latent__radius_delta,complexity,latent,spearman,69,0.040310715527161964,0.7422596880694691,0.7923882565599166,0.040310715527161964,complexity__latent
complexity__composite_kappa_delta,latent__radius_delta,complexity,latent,spearman,69,0.03811094933195531,0.7558744701822969,0.7923882565599166,0.03811094933195531,complexity__latent
complexity__effrank_delta,latent__pr_delta,complexity,latent,spearman,69,-0.03783978379389307,0.7575580035243159,0.7923882565599166,0.03783978379389307,complexity__latent
complexity__effrank_delta,latent__anisotropy_delta,complexity,latent,spearman,69,-0.02918230538831017,0.8118589008693615,0.8395359088535443,0.02918230538831017,complexity__latent
entropy__spectral_delta,latent__anisotropy_delta,entropy,latent,spearman,69,-0.02456989411273475,0.8411720284658406,0.8533582263317949,0.02456989411273475,entropy__latent
entropy__spectral_delta,latent__radius_delta,entropy,latent,spearman,69,0.024129836307730544,0.8439806634050719,0.8533582263317949,0.024129836307730544,entropy__latent
complexity__effrank_delta,latent__radius_delta,complexity,latent,spearman,69,0.004842318430241285,0.9685007613303387,0.9685007613303387,0.004842318430241285,complexity__latent
complexity__kappa_delta,complexity__sparsity_delta,complexity,complexity,spearman,81,NA,NA,NA,NA,complexity__complexity
complexity__effrank_delta,complexity__sparsity_delta,complexity,complexity,spearman,81,NA,NA,NA,NA,complexity__complexity
complexity__sparsity_delta,complexity__composite_kappa_delta,complexity,complexity,spearman,81,NA,NA,NA,NA,complexity__complexity
complexity__sparsity_delta,entropy__shannon_delta,complexity,entropy,spearman,81,NA,NA,NA,NA,complexity__entropy
complexity__sparsity_delta,entropy__spectral_delta,complexity,entropy,spearman,81,NA,NA,NA,NA,complexity__entropy
complexity__sparsity_delta,mp__spectral_entropy_delta,complexity,mp,spearman,75,NA,NA,NA,NA,complexity__mp
complexity__sparsity_delta,mp__participation_ratio_delta,complexity,mp,spearman,75,NA,NA,NA,NA,complexity__mp
complexity__sparsity_delta,mp__largest_eigenvalue_fraction_delta,complexity,mp,spearman,75,NA,NA,NA,NA,complexity__mp
complexity__sparsity_delta,mp__excess_spectral_mass_delta,complexity,mp,spearman,75,NA,NA,NA,NA,complexity__mp
complexity__sparsity_delta,latent__pr_delta,complexity,latent,spearman,69,NA,NA,NA,NA,complexity__latent
complexity__sparsity_delta,latent__eig_entropy_delta,complexity,latent,spearman,69,NA,NA,NA,NA,complexity__latent
complexity__sparsity_delta,latent__centroid_distance,complexity,latent,spearman,69,NA,NA,NA,NA,complexity__latent
complexity__sparsity_delta,latent__anisotropy_delta,complexity,latent,spearman,69,NA,NA,NA,NA,complexity__latent
complexity__sparsity_delta,latent__radius_delta,complexity,latent,spearman,69,NA,NA,NA,NA,complexity__latent
