chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes
hu35ksuba,limma,carcinomas,BR/BRAD,mp,largest_eigenvalue_fraction_delta,-0.37960882471517154,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,BR/BRAD,mp,participation_ratio_delta,3.688992907970154,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,BR/BRAD,mp,spectral_entropy_delta,1.0851564653356793,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,COL/COADREAD,complexity,effrank_delta,0.2999999999999998,tumor_greater,permutation_available,0.01,0.13,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,COL/COADREAD,complexity,kappa_delta,-75.9,tumor_lower,permutation_available,0.01,0.13,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,COL/COADREAD,entropy,shannon_delta,0.005,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,COL/COADREAD,entropy,spectral_delta,0.286,tumor_greater,permutation_available,0,0,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,COL/COADREAD,mp,excess_spectral_mass_delta,1.4099092946367477,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,COL/COADREAD,mp,largest_eigenvalue_fraction_delta,0.07867158579845585,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,COL/COADREAD,mp,participation_ratio_delta,-0.9871128135442948,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,COL/COADREAD,mp,spectral_entropy_delta,-0.06009464962347755,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,KID/RCC,complexity,effrank_delta,0.21999999999999997,tumor_greater,permutation_available,0.4,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,KID/RCC,complexity,kappa_delta,-24.9,tumor_lower,permutation_available,0.4,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,KID/RCC,entropy,shannon_delta,-0.119,tumor_lower,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,KID/RCC,entropy,spectral_delta,0.227,tumor_greater,permutation_available,0,0,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,KID/RCC,mp,excess_spectral_mass_delta,-15.668304446971554,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,KID/RCC,mp,largest_eigenvalue_fraction_delta,-0.01478632226048937,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,KID/RCC,mp,participation_ratio_delta,0.13330147164197026,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,KID/RCC,mp,spectral_entropy_delta,-0.033026736945755975,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,OV/OVAD,complexity,effrank_delta,0.07000000000000006,tumor_greater,permutation_available,0.26,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,OV/OVAD,complexity,kappa_delta,108.12,tumor_greater,permutation_available,0.26,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,OV/OVAD,entropy,shannon_delta,1.461,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,OV/OVAD,entropy,spectral_delta,0.053,tumor_greater,permutation_available,0.91,0.95,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,OV/OVAD,mp,excess_spectral_mass_delta,NA,NA,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,OV/OVAD,mp,largest_eigenvalue_fraction_delta,NA,NA,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,OV/OVAD,mp,participation_ratio_delta,NA,NA,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,OV/OVAD,mp,spectral_entropy_delta,NA,NA,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,PA/PAAD,complexity,effrank_delta,0.49,tumor_greater,permutation_available,0.21,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,PA/PAAD,complexity,kappa_delta,-32.86,tumor_lower,permutation_available,0.21,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,PA/PAAD,entropy,shannon_delta,0.002,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,PA/PAAD,entropy,spectral_delta,0.437,tumor_greater,permutation_available,0,0,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,PA/PAAD,mp,excess_spectral_mass_delta,75.22245578303061,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,PA/PAAD,mp,largest_eigenvalue_fraction_delta,0.37768812053340606,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,PA/PAAD,mp,participation_ratio_delta,-3.7871975669686675,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,PA/PAAD,mp,spectral_entropy_delta,-0.6854750828290541,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,carcinomas,UT/EAC,complexity,effrank_delta,-0.1499999999999999,tumor_lower,permutation_available,0.73,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,UT/EAC,complexity,kappa_delta,32.96,tumor_greater,permutation_available,0.73,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,carcinomas,UT/EAC,entropy,shannon_delta,0.732,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,carcinomas,UT/EAC,entropy,spectral_delta,-0.133,tumor_lower,permutation_available,0.54,0.7280000000000001,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
