chip,filter_regime,group,comparison,complexity__effrank_delta,complexity__kappa_delta,entropy__shannon_delta,entropy__spectral_delta,mp__excess_spectral_mass_delta,mp__largest_eigenvalue_fraction_delta,mp__participation_ratio_delta,mp__spectral_entropy_delta,latent__centroid_distance,latent__latent_eig_entropy_delta,latent__latent_pr_delta
hu35ksuba,limma,lymphomas,GC/FL,0.22999999999999998,20.58,0.88,0.242,-434.929443709447,-0.3651239409268659,4.573419290589538,0.9672034912680836,NA,NA,NA
hu35ksuba,limma,lymphomas,GC/LBCL,0.10999999999999988,29.17,0.878,0.121,-318.90736074356823,-0.37580589345544524,5.105301069703252,0.9967043988382405,NA,NA,NA
hu35ksuba,variance_comparison,blastomas,Brain/GBM,0.32000000000000006,-15.18,0.322,0.254,-198.79821972566185,-0.004367290313128547,1.2706799910415585,0.27742067719719987,NA,NA,NA
hu35ksuba,variance_comparison,blastomas,Brain/MB,0.44000000000000017,-5.29,0.324,0.329,-100.10065899324695,-0.03685899728791803,1.0886541178207638,0.2397475745133062,NA,NA,NA
hu35ksuba,variance_comparison,carcinomas,BLAD/TCC,0.33000000000000007,9.36,0.657,0.263,-89.88185356472945,-0.14430249626977776,2.5728141812473684,0.5319098091598102,NA,NA,NA
hu35ksuba,variance_comparison,carcinomas,BR/BRAD,1.15,-0.57,1.143,0.781,-290.41014254247034,-0.34904614042408355,3.4419628407442926,1.0030917250200337,NA,NA,NA
hu35ksuba,variance_comparison,carcinomas,COL/COADREAD,0.29000000000000004,-49.47,0,0.224,-164.3719418368994,-0.0069355814676463345,0.26928925966876793,0.07741791048412638,NA,NA,NA
hu35ksuba,variance_comparison,carcinomas,KID/RCC,0.5999999999999999,-31.62,-0.125,0.458,-30.603457235133646,-0.07736840491148067,0.5420535885171915,-0.015612320281915837,NA,NA,NA
hu35ksuba,variance_comparison,carcinomas,LU/LUAD,0.30999999999999983,8.18,0.653,0.229,-277.515595958474,-0.187073914742296,1.7899636429430075,0.6116171231629561,NA,NA,NA
hu35ksuba,variance_comparison,carcinomas,OV/OVAD,0.6300000000000001,71.06,1.462,0.535,NA,NA,NA,NA,NA,NA,NA
hu35ksuba,variance_comparison,carcinomas,PA/PAAD,-0.1499999999999999,-28.22,-0.003,-0.105,196.31023227786523,0.11721881364642794,-1.4673351970494188,-0.15227582071078016,NA,NA,NA
hu35ksuba,variance_comparison,carcinomas,PR/PRAD,0.2699999999999998,14.24,0.152,0.221,-131.18500348449084,-0.10362057738918279,1.1415148905021333,0.17333324661105132,NA,NA,NA
