source_file,analysis_scope,chip,group,comparison,filter_regime,engine,gene_set_mode,gene_set_name,matrix_key_normal,matrix_key_tumor,n_shared_probes,n_samples_normal,n_samples_tumor,n_features,entropy_covariance_space,shannon_normal,shannon_tumor,shannon_delta,shannon_direction,spectral_normal,spectral_tumor,spectral_delta,spectral_direction,run_permutation,permutation_metric,permutation_unit,n_perm,p_perm_shannon,p_perm_spectral,run_bootstrap,bootstrap_metric,bootstrap_unit,n_boot,shannon_boot_normal_mean,shannon_boot_normal_ci_lower,shannon_boot_normal_ci_upper,shannon_boot_tumor_mean,shannon_boot_tumor_ci_lower,shannon_boot_tumor_ci_upper,spectral_boot_normal_mean,spectral_boot_normal_ci_lower,spectral_boot_normal_ci_upper,spectral_boot_tumor_mean,spectral_boot_tumor_ci_lower,spectral_boot_tumor_ci_upper,status,p_perm_shannon_fdr,p_perm_spectral_fdr
entropy_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/B-ALL,limma,entropy,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,1353,5,10,1353,sample,12.695,13.702,1.007,strongly chaotic,0.477,0.467,-0.01,neutral,TRUE,spectral,sample_label,100,NA,0.95,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.37313999999999997,0.153,0.479,0.38176,0.28292500000000004,0.455,ok,NA,0.95
entropy_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/T-ALL,limma,entropy,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,1600,5,10,1600,sample,12.937,13.942,1.005,strongly chaotic,0.493,0.425,-0.068,neutral,TRUE,spectral,sample_label,100,NA,0.66,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.38607,0.155,0.493,0.34649,0.235325,0.4211499999999999,ok,NA,0.78
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BLAD/TCC,variance_comparison,entropy,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,3000,7,11,3000,sample,14.335,14.992,0.657,strongly chaotic,0.726,0.989,0.263,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.13,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.57655,0.33885000000000004,0.718,0.83243,0.6537750000000002,0.9833,ok,NA,0.24375000000000002
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BR/BRAD,variance_comparison,entropy,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,3000,5,11,3000,sample,13.848,14.991,1.143,strongly chaotic,0.678,1.459,0.781,strongly chaotic,TRUE,spectral,sample_label,100,NA,0,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.51829,0.099,0.7467249999999999,1.22104,0.9332000000000001,1.4383999999999997,ok,NA,0
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,COL/COADREAD,variance_comparison,entropy,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,3000,11,11,3000,sample,14.989,14.989,0,neutral,0.775,0.999,0.224,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.07,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.67982,0.522325,0.8282499999999999,0.84617,0.693475,0.983575,ok,NA,0.19285714285714284
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,KID/RCC,variance_comparison,entropy,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,3000,12,11,3000,sample,15.116,14.991,-0.125,mildly anti-chaotic,0.689,1.147,0.458,mildly chaotic,TRUE,spectral,sample_label,100,NA,0,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.59677,0.48445000000000005,0.682575,0.96475,0.7291000000000002,1.14505,ok,NA,0
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,LU/LUAD,variance_comparison,entropy,FULL,FULL,m_Lung.normal,m_Lung.lung.adenocarcinoma,3000,7,11,3000,sample,14.337,14.99,0.653,strongly chaotic,0.862,1.091,0.229,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.24,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.69371,0.35855000000000004,0.9052499999999999,0.94137,0.742225,1.094525,ok,NA,0.36
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,OV/OVAD,variance_comparison,entropy,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,3000,4,11,3000,sample,13.529,14.991,1.462,strongly chaotic,0.495,1.03,0.535,strongly chaotic,TRUE,spectral,sample_label,100,NA,0.09,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.35434,0.209,0.495,0.86707,0.60245,1.022525,ok,NA,0.19285714285714284
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,PA/PAAD,variance_comparison,entropy,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,3000,10,10,3000,sample,14.855,14.852,-0.003,neutral,1.033,0.928,-0.105,mildly anti-chaotic,TRUE,spectral,sample_label,100,NA,0.73,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.84305,0.56265,1.08505,0.80255,0.5413250000000001,0.98505,ok,NA,0.8423076923076922
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,PR/PRAD,variance_comparison,entropy,FULL,FULL,m_Prostate.normal,m_Prostate.prostate.adenocarcinoma,3000,9,10,3000,sample,14.701,14.853,0.152,mildly chaotic,0.694,0.915,0.221,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.08,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.59182,0.47095,0.697525,0.76346,0.5801000000000001,0.9166749999999999,ok,NA,0.19285714285714284
