chip,gene_set_mode,gene_set_id,gene_set_normalized,gene_set_name,go_ontology,root_node,n_probes
hu35ksuba,GO_BP,GO:0008037,GO:0008037,cell recognition,BP,biological_process,2
hu35ksuba,GO_BP,GO:0008038,GO:0008038,neuron recognition,BP,biological_process,2
hu35ksuba,GO_BP,GO:0008039,GO:0008039,synaptic target recognition,BP,biological_process,2
hu35ksuba,GO_BP,GO:0008045,GO:0008045,motor neuron axon guidance,BP,biological_process,11
hu35ksuba,GO_MF,GO:0008046,GO:0008046,axon guidance receptor activity,MF,molecular_function,4
hu35ksuba,GO_MF,GO:0008047,GO:0008047,enzyme activator activity,MF,molecular_function,36
hu35ksuba,GO_MF,GO:0008048,GO:0008048,calcium sensitive guanylate cyclase activator activity,MF,molecular_function,2
hu35ksuba,GO_BP,GO:0008053,GO:0008053,mitochondrial fusion,BP,biological_process,12
hu35ksuba,GO_MF,GO:0008061,GO:0008061,chitin binding,MF,molecular_function,2
hu35ksuba,GO_BP,GO:0008063,GO:0008063,Toll signaling pathway,BP,biological_process,3
hu35ksuba,GO_BP,GO:0008064,GO:0008064,regulation of actin polymerization or depolymerization,BP,biological_process,2
hu35ksuba,GO_BP,GO:0008065,GO:0008065,establishment of blood-nerve barrier,BP,biological_process,1
hu35ksuba,GO_MF,GO:0008066,GO:0008066,glutamate receptor activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0008068,GO:0008068,extracellularly glutamate-gated chloride channel activity,MF,molecular_function,2
hu35ksuba,GO_MF,GO:0008073,GO:0008073,ornithine decarboxylase inhibitor activity,MF,molecular_function,2
hu35ksuba,GO_MF,GO:0008080,GO:0008080,N-acetyltransferase activity,MF,molecular_function,5
hu35ksuba,GO_MF,GO:0008081,GO:0008081,phosphoric diester hydrolase activity,MF,molecular_function,25
hu35ksuba,GO_MF,GO:0008083,GO:0008083,growth factor activity,MF,molecular_function,38
hu35ksuba,GO_BP,GO:0008088,GO:0008088,axo-dendritic transport,BP,biological_process,8
hu35ksuba,GO_BP,GO:0008089,GO:0008089,anterograde axonal transport,BP,biological_process,16
hu35ksuba,GO_BP,GO:0008090,GO:0008090,retrograde axonal transport,BP,biological_process,3
hu35ksuba,GO_MF,GO:0008092,GO:0008092,cytoskeletal protein binding,MF,molecular_function,42
hu35ksuba,GO_MF,GO:0008093,GO:0008093,cytoskeletal anchor activity,MF,molecular_function,20
