ontology,go_id,go_name,root_node,n_chips,total_probe_memberships
BP,GO:0019637,organophosphate metabolic process,biological_process,1,7
BP,GO:0019674,NAD metabolic process,biological_process,2,16
BP,GO:0019677,NAD catabolic process,biological_process,1,5
BP,GO:0019722,calcium-mediated signaling,biological_process,2,100
BP,GO:0019724,B cell mediated immunity,biological_process,1,5
BP,GO:0019725,cellular homeostasis,biological_process,1,10
BP,GO:0019730,antimicrobial humoral response,biological_process,1,11
BP,GO:0019731,antibacterial humoral response,biological_process,2,68
BP,GO:0019732,antifungal humoral response,biological_process,1,12
BP,GO:0019752,carboxylic acid metabolic process,biological_process,2,24
BP,GO:0019827,stem cell population maintenance,biological_process,2,25
BP,GO:0019882,antigen processing and presentation,biological_process,2,57
BP,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,biological_process,2,19
BP,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,biological_process,1,35
BP,GO:0019896,axonal transport of mitochondrion,biological_process,2,16
BP,GO:0019915,lipid storage,biological_process,2,18
BP,GO:0019941,modification-dependent protein catabolic process,biological_process,1,6
BP,GO:0019953,sexual reproduction,biological_process,1,9
BP,GO:0019985,translesion synthesis,biological_process,1,11
BP,GO:0021510,spinal cord development,biological_process,2,32
BP,GO:0021517,ventral spinal cord development,biological_process,1,8
BP,GO:0021537,telencephalon development,biological_process,1,8
BP,GO:0021542,dentate gyrus development,biological_process,2,15
BP,GO:0021549,cerebellum development,biological_process,2,36
BP,GO:0021559,trigeminal nerve development,biological_process,1,6
BP,GO:0021612,facial nerve structural organization,biological_process,2,13
BP,GO:0021637,trigeminal nerve structural organization,biological_process,2,11
BP,GO:0021649,vestibulocochlear nerve structural organization,biological_process,1,5
BP,GO:0021670,lateral ventricle development,biological_process,1,5
BP,GO:0021675,nerve development,biological_process,2,15
BP,GO:0021756,striatum development,biological_process,1,6
BP,GO:0021762,substantia nigra development,biological_process,2,63
BP,GO:0021766,hippocampus development,biological_process,2,42
BP,GO:0021772,olfactory bulb development,biological_process,2,15
BP,GO:0021785,branchiomotor neuron axon guidance,biological_process,2,11
BP,GO:0021819,layer formation in cerebral cortex,biological_process,2,12
BP,GO:0021828,gonadotrophin-releasing hormone neuronal migration to the hypothalamus,biological_process,1,8
BP,GO:0021854,hypothalamus development,biological_process,1,11
BP,GO:0021860,pyramidal neuron development,biological_process,1,5
BP,GO:0021895,cerebral cortex neuron differentiation,biological_process,1,5
BP,GO:0021915,neural tube development,biological_process,2,16
BP,GO:0021954,central nervous system neuron development,biological_process,2,23
BP,GO:0021983,pituitary gland development,biological_process,1,10
BP,GO:0021987,cerebral cortex development,biological_process,2,64
BP,GO:0022008,neurogenesis,biological_process,2,70
BP,GO:0022010,central nervous system myelination,biological_process,1,5
BP,GO:0022011,myelination in peripheral nervous system,biological_process,2,15
BP,GO:0022400,regulation of rhodopsin mediated signaling pathway,biological_process,1,7
BP,GO:0022407,regulation of cell-cell adhesion,biological_process,2,21
BP,GO:0022408,negative regulation of cell-cell adhesion,biological_process,2,13
BP,GO:0022409,positive regulation of cell-cell adhesion,biological_process,2,26
BP,GO:0022603,regulation of anatomical structure morphogenesis,biological_process,1,6
BP,GO:0022604,regulation of cell morphogenesis,biological_process,2,14
BP,GO:0022614,membrane to membrane docking,biological_process,1,5
BP,GO:0022617,extracellular matrix disassembly,biological_process,2,48
BP,GO:0022900,electron transport chain,biological_process,2,13
BP,GO:0022904,respiratory electron transport chain,biological_process,2,62
BP,GO:0023019,signal transduction involved in regulation of gene expression,biological_process,1,5
BP,GO:0023035,CD40 signaling pathway,biological_process,2,14
BP,GO:0023051,regulation of signaling,biological_process,2,16
BP,GO:0023052,signaling,biological_process,2,38
BP,GO:0030001,metal ion transport,biological_process,2,34
BP,GO:0030003,cellular cation homeostasis,biological_process,2,18
BP,GO:0030007,cellular potassium ion homeostasis,biological_process,2,27
BP,GO:0030010,establishment of cell polarity,biological_process,2,28
BP,GO:0030011,maintenance of cell polarity,biological_process,1,7
BP,GO:0030026,cellular manganese ion homeostasis,biological_process,1,5
BP,GO:0030030,cell projection organization,biological_process,2,121
BP,GO:0030031,cell projection assembly,biological_process,2,13
BP,GO:0030032,lamellipodium assembly,biological_process,2,30
BP,GO:0030033,microvillus assembly,biological_process,1,5
BP,GO:0030036,actin cytoskeleton organization,biological_process,2,219
BP,GO:0030041,actin filament polymerization,biological_process,2,25
BP,GO:0030042,actin filament depolymerization,biological_process,2,12
BP,GO:0030048,actin filament-based movement,biological_process,2,22
BP,GO:0030049,muscle filament sliding,biological_process,1,15
BP,GO:0030071,regulation of mitotic metaphase/anaphase transition,biological_process,2,55
BP,GO:0030073,insulin secretion,biological_process,2,21
BP,GO:0030097,hemopoiesis,biological_process,2,65
BP,GO:0030099,myeloid cell differentiation,biological_process,1,15
BP,GO:0030100,regulation of endocytosis,biological_process,2,37
BP,GO:0030101,natural killer cell activation,biological_process,2,22
BP,GO:0030111,regulation of Wnt signaling pathway,biological_process,2,21
BP,GO:0030148,sphingolipid biosynthetic process,biological_process,2,36
BP,GO:0030149,sphingolipid catabolic process,biological_process,1,6
BP,GO:0030150,protein import into mitochondrial matrix,biological_process,2,19
BP,GO:0030154,cell differentiation,biological_process,2,843
BP,GO:0030155,regulation of cell adhesion,biological_process,2,64
BP,GO:0030157,pancreatic juice secretion,biological_process,1,5
BP,GO:0030162,regulation of proteolysis,biological_process,2,20
BP,GO:0030163,protein catabolic process,biological_process,2,85
BP,GO:0030166,proteoglycan biosynthetic process,biological_process,1,13
BP,GO:0030168,platelet activation,biological_process,2,71
BP,GO:0030174,regulation of DNA-dependent DNA replication initiation,biological_process,2,15
BP,GO:0030177,positive regulation of Wnt signaling pathway,biological_process,2,37
BP,GO:0030178,negative regulation of Wnt signaling pathway,biological_process,2,41
BP,GO:0030182,neuron differentiation,biological_process,2,136
BP,GO:0030183,B cell differentiation,biological_process,2,85
BP,GO:0030185,nitric oxide transport,biological_process,1,6
BP,GO:0030193,regulation of blood coagulation,biological_process,1,11
BP,GO:0030194,positive regulation of blood coagulation,biological_process,1,14
BP,GO:0030195,negative regulation of blood coagulation,biological_process,1,14
BP,GO:0030198,extracellular matrix organization,biological_process,2,97
BP,GO:0030199,collagen fibril organization,biological_process,2,75
BP,GO:0030200,heparan sulfate proteoglycan catabolic process,biological_process,2,15
BP,GO:0030207,chondroitin sulfate catabolic process,biological_process,1,5
BP,GO:0030209,dermatan sulfate catabolic process,biological_process,1,6
BP,GO:0030212,hyaluronan metabolic process,biological_process,1,6
BP,GO:0030214,hyaluronan catabolic process,biological_process,2,23
BP,GO:0030216,keratinocyte differentiation,biological_process,2,56
BP,GO:0030217,T cell differentiation,biological_process,2,47
BP,GO:0030218,erythrocyte differentiation,biological_process,2,49
BP,GO:0030219,megakaryocyte differentiation,biological_process,2,14
BP,GO:0030220,platelet formation,biological_process,2,18
BP,GO:0030224,monocyte differentiation,biological_process,2,24
BP,GO:0030225,macrophage differentiation,biological_process,2,33
BP,GO:0030238,male sex determination,biological_process,1,6
BP,GO:0030239,myofibril assembly,biological_process,2,12
BP,GO:0030261,chromosome condensation,biological_process,2,29
BP,GO:0030277,maintenance of gastrointestinal epithelium,biological_process,2,14
BP,GO:0030279,negative regulation of ossification,biological_process,2,26
BP,GO:0030282,bone mineralization,biological_process,2,25
BP,GO:0030299,intestinal cholesterol absorption,biological_process,1,7
BP,GO:0030301,cholesterol transport,biological_process,2,32
BP,GO:0030307,positive regulation of cell growth,biological_process,2,108
BP,GO:0030308,negative regulation of cell growth,biological_process,2,132
BP,GO:0030316,osteoclast differentiation,biological_process,2,41
BP,GO:0030317,flagellated sperm motility,biological_process,2,56
BP,GO:0030318,melanocyte differentiation,biological_process,1,11
BP,GO:0030321,transepithelial chloride transport,biological_process,1,5
BP,GO:0030324,lung development,biological_process,2,37
BP,GO:0030325,adrenal gland development,biological_process,2,24
BP,GO:0030326,embryonic limb morphogenesis,biological_process,2,12
BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",biological_process,2,58
BP,GO:0030334,regulation of cell migration,biological_process,2,108
BP,GO:0030335,positive regulation of cell migration,biological_process,2,326
BP,GO:0030336,negative regulation of cell migration,biological_process,2,185
BP,GO:0030388,"fructose 1,6-bisphosphate metabolic process",biological_process,1,6
BP,GO:0030422,production of siRNA involved in RNA interference,biological_process,1,5
BP,GO:0030449,regulation of complement activation,biological_process,1,9
BP,GO:0030488,tRNA methylation,biological_process,1,17
BP,GO:0030490,maturation of SSU-rRNA,biological_process,2,58
BP,GO:0030497,fatty acid elongation,biological_process,1,6
BP,GO:0030500,regulation of bone mineralization,biological_process,2,20
BP,GO:0030501,positive regulation of bone mineralization,biological_process,2,58
BP,GO:0030502,negative regulation of bone mineralization,biological_process,1,9
BP,GO:0030509,BMP signaling pathway,biological_process,2,72
BP,GO:0030510,regulation of BMP signaling pathway,biological_process,2,15
BP,GO:0030511,positive regulation of transforming growth factor beta receptor signaling pathway,biological_process,2,34
BP,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,biological_process,2,88
BP,GO:0030513,positive regulation of BMP signaling pathway,biological_process,2,26
BP,GO:0030514,negative regulation of BMP signaling pathway,biological_process,2,43
BP,GO:0030516,regulation of axon extension,biological_process,1,9
BP,GO:0030517,negative regulation of axon extension,biological_process,2,19
BP,GO:0030518,intracellular steroid hormone receptor signaling pathway,biological_process,2,43
BP,GO:0030520,intracellular estrogen receptor signaling pathway,biological_process,2,26
BP,GO:0030521,androgen receptor signaling pathway,biological_process,2,21
BP,GO:0030522,intracellular receptor signaling pathway,biological_process,2,63
BP,GO:0030534,adult behavior,biological_process,2,16
BP,GO:0030539,male genitalia development,biological_process,1,6
BP,GO:0030574,collagen catabolic process,biological_process,2,39
BP,GO:0030578,PML body organization,biological_process,1,11
BP,GO:0030593,neutrophil chemotaxis,biological_process,2,55
BP,GO:0030595,leukocyte chemotaxis,biological_process,2,17
BP,GO:0030644,cellular chloride ion homeostasis,biological_process,2,13
BP,GO:0030705,cytoskeleton-dependent intracellular transport,biological_process,1,8
BP,GO:0030833,regulation of actin filament polymerization,biological_process,2,37
BP,GO:0030836,positive regulation of actin filament depolymerization,biological_process,1,5
BP,GO:0030837,negative regulation of actin filament polymerization,biological_process,1,8
BP,GO:0030838,positive regulation of actin filament polymerization,biological_process,2,32
BP,GO:0030850,prostate gland development,biological_process,1,9
BP,GO:0030851,granulocyte differentiation,biological_process,1,5
BP,GO:0030853,negative regulation of granulocyte differentiation,biological_process,1,6
BP,GO:0030854,positive regulation of granulocyte differentiation,biological_process,1,6
BP,GO:0030855,epithelial cell differentiation,biological_process,2,78
BP,GO:0030859,polarized epithelial cell differentiation,biological_process,1,5
BP,GO:0030865,cortical cytoskeleton organization,biological_process,1,9
BP,GO:0030866,cortical actin cytoskeleton organization,biological_process,2,29
BP,GO:0030878,thyroid gland development,biological_process,1,10
BP,GO:0030879,mammary gland development,biological_process,2,23
BP,GO:0030888,regulation of B cell proliferation,biological_process,1,6
BP,GO:0030889,negative regulation of B cell proliferation,biological_process,1,10
BP,GO:0030890,positive regulation of B cell proliferation,biological_process,2,42
BP,GO:0030900,forebrain development,biological_process,2,29
BP,GO:0030901,midbrain development,biological_process,1,7
BP,GO:0030902,hindbrain development,biological_process,1,5
BP,GO:0030903,notochord development,biological_process,1,6
BP,GO:0030948,negative regulation of vascular endothelial growth factor receptor signaling pathway,biological_process,2,10
BP,GO:0030949,positive regulation of vascular endothelial growth factor receptor signaling pathway,biological_process,2,18
BP,GO:0030953,astral microtubule organization,biological_process,2,22
BP,GO:0030968,endoplasmic reticulum unfolded protein response,biological_process,2,49
BP,GO:0030970,"retrograde protein transport, ER to cytosol",biological_process,2,15
BP,GO:0031000,response to caffeine,biological_process,2,12
BP,GO:0031016,pancreas development,biological_process,2,14
BP,GO:0031018,endocrine pancreas development,biological_process,1,13
BP,GO:0031023,microtubule organizing center organization,biological_process,1,6
BP,GO:0031032,actomyosin structure organization,biological_process,2,33
BP,GO:0031047,gene silencing by RNA,biological_process,2,59
BP,GO:0031048,heterochromatin assembly by small RNA,biological_process,1,7
BP,GO:0031053,primary miRNA processing,biological_process,2,19
BP,GO:0031054,pre-miRNA processing,biological_process,1,11
BP,GO:0031069,hair follicle morphogenesis,biological_process,1,12
BP,GO:0031098,stress-activated protein kinase signaling cascade,biological_process,1,5
BP,GO:0031100,animal organ regeneration,biological_process,2,33
BP,GO:0031103,axon regeneration,biological_process,1,8
BP,GO:0031110,regulation of microtubule polymerization or depolymerization,biological_process,2,20
BP,GO:0031113,regulation of microtubule polymerization,biological_process,2,17
BP,GO:0031115,negative regulation of microtubule polymerization,biological_process,2,18
BP,GO:0031116,positive regulation of microtubule polymerization,biological_process,2,21
BP,GO:0031119,tRNA pseudouridine synthesis,biological_process,1,5
BP,GO:0031122,cytoplasmic microtubule organization,biological_process,2,36
BP,GO:0031123,RNA 3'-end processing,biological_process,1,11
BP,GO:0031124,mRNA 3'-end processing,biological_process,2,44
BP,GO:0031134,sister chromatid biorientation,biological_process,1,6
BP,GO:0031145,anaphase-promoting complex-dependent catabolic process,biological_process,2,19
BP,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,biological_process,2,55
BP,GO:0031167,rRNA methylation,biological_process,1,12
BP,GO:0031175,neuron projection development,biological_process,2,139
BP,GO:0031204,"posttranslational protein targeting to membrane, translocation",biological_process,2,15
BP,GO:0031214,biomineral tissue development,biological_process,2,27
BP,GO:0031274,positive regulation of pseudopodium assembly,biological_process,2,12
BP,GO:0031290,retinal ganglion cell axon guidance,biological_process,2,12
BP,GO:0031293,membrane protein intracellular domain proteolysis,biological_process,2,15
BP,GO:0031295,T cell costimulation,biological_process,2,32
BP,GO:0031297,replication fork processing,biological_process,2,39
BP,GO:0031333,negative regulation of protein-containing complex assembly,biological_process,2,37
BP,GO:0031334,positive regulation of protein-containing complex assembly,biological_process,2,62
BP,GO:0031340,positive regulation of vesicle fusion,biological_process,1,7
BP,GO:0031346,positive regulation of cell projection organization,biological_process,1,7
BP,GO:0031394,positive regulation of prostaglandin biosynthetic process,biological_process,1,9
BP,GO:0031396,regulation of protein ubiquitination,biological_process,2,14
BP,GO:0031397,negative regulation of protein ubiquitination,biological_process,2,43
BP,GO:0031398,positive regulation of protein ubiquitination,biological_process,2,65
BP,GO:0031424,keratinization,biological_process,2,38
BP,GO:0031440,regulation of mRNA 3'-end processing,biological_process,2,14
BP,GO:0031442,positive regulation of mRNA 3'-end processing,biological_process,1,5
BP,GO:0031452,negative regulation of heterochromatin assembly,biological_process,1,6
BP,GO:0031468,nuclear membrane reassembly,biological_process,1,17
BP,GO:0031503,protein-containing complex localization,biological_process,1,5
BP,GO:0031507,heterochromatin assembly,biological_process,2,121
BP,GO:0031509,subtelomeric heterochromatin assembly,biological_process,1,8
BP,GO:0031529,ruffle organization,biological_process,2,21
BP,GO:0031547,brain-derived neurotrophic factor receptor signaling pathway,biological_process,1,5
BP,GO:0031571,mitotic G1 DNA damage checkpoint signaling,biological_process,1,11
BP,GO:0031573,mitotic intra-S DNA damage checkpoint signaling,biological_process,1,6
BP,GO:0031581,hemidesmosome assembly,biological_process,1,7
BP,GO:0031589,cell-substrate adhesion,biological_process,2,28
BP,GO:0031622,positive regulation of fever generation,biological_process,1,11
BP,GO:0031623,receptor internalization,biological_process,2,74
BP,GO:0031629,synaptic vesicle fusion to presynaptic active zone membrane,biological_process,1,5
BP,GO:0031638,zymogen activation,biological_process,2,34
BP,GO:0031639,plasminogen activation,biological_process,1,12
BP,GO:0031640,killing of cells of other organism,biological_process,2,90
BP,GO:0031641,regulation of myelination,biological_process,1,5
BP,GO:0031643,positive regulation of myelination,biological_process,2,27
BP,GO:0031647,regulation of protein stability,biological_process,2,102
BP,GO:0031648,protein destabilization,biological_process,2,48
BP,GO:0031652,positive regulation of heat generation,biological_process,1,6
BP,GO:0031663,lipopolysaccharide-mediated signaling pathway,biological_process,2,32
BP,GO:0031665,negative regulation of lipopolysaccharide-mediated signaling pathway,biological_process,2,17
BP,GO:0031666,positive regulation of lipopolysaccharide-mediated signaling pathway,biological_process,1,8
BP,GO:0031667,response to nutrient levels,biological_process,2,86
BP,GO:0031669,cellular response to nutrient levels,biological_process,2,41
BP,GO:0031670,cellular response to nutrient,biological_process,1,9
BP,GO:0031848,protection from non-homologous end joining at telomere,biological_process,1,5
BP,GO:0031915,positive regulation of synaptic plasticity,biological_process,1,7
BP,GO:0031929,TOR signaling,biological_process,2,22
BP,GO:0032000,positive regulation of fatty acid beta-oxidation,biological_process,1,9
BP,GO:0032006,regulation of TOR signaling,biological_process,2,21
BP,GO:0032007,negative regulation of TOR signaling,biological_process,2,34
BP,GO:0032008,positive regulation of TOR signaling,biological_process,2,32
BP,GO:0032012,regulation of ARF protein signal transduction,biological_process,2,16
BP,GO:0032024,positive regulation of insulin secretion,biological_process,2,55
BP,GO:0032025,response to cobalt ion,biological_process,1,8
BP,GO:0032026,response to magnesium ion,biological_process,1,9
BP,GO:0032060,bleb assembly,biological_process,1,9
BP,GO:0032091,negative regulation of protein binding,biological_process,2,16
BP,GO:0032092,positive regulation of protein binding,biological_process,2,10
BP,GO:0032094,response to food,biological_process,1,18
BP,GO:0032098,regulation of appetite,biological_process,1,9
BP,GO:0032099,negative regulation of appetite,biological_process,1,8
BP,GO:0032147,activation of protein kinase activity,biological_process,1,9
BP,GO:0032148,activation of protein kinase B activity,biological_process,1,8
BP,GO:0032200,telomere organization,biological_process,1,20
BP,GO:0032201,telomere maintenance via semi-conservative replication,biological_process,1,6
BP,GO:0032204,regulation of telomere maintenance,biological_process,2,26
BP,GO:0032205,negative regulation of telomere maintenance,biological_process,1,5
BP,GO:0032206,positive regulation of telomere maintenance,biological_process,2,44
BP,GO:0032210,regulation of telomere maintenance via telomerase,biological_process,1,6
BP,GO:0032211,negative regulation of telomere maintenance via telomerase,biological_process,2,28
BP,GO:0032212,positive regulation of telomere maintenance via telomerase,biological_process,2,27
BP,GO:0032228,"regulation of synaptic transmission, GABAergic",biological_process,2,13
BP,GO:0032229,"negative regulation of synaptic transmission, GABAergic",biological_process,1,8
BP,GO:0032230,"positive regulation of synaptic transmission, GABAergic",biological_process,1,5
BP,GO:0032233,positive regulation of actin filament bundle assembly,biological_process,2,12
BP,GO:0032259,methylation,biological_process,2,141
BP,GO:0032264,IMP salvage,biological_process,1,5
BP,GO:0032288,myelin assembly,biological_process,1,5
BP,GO:0032310,prostaglandin secretion,biological_process,1,5
BP,GO:0032328,alanine transport,biological_process,1,5
BP,GO:0032330,regulation of chondrocyte differentiation,biological_process,1,6
BP,GO:0032331,negative regulation of chondrocyte differentiation,biological_process,2,24
BP,GO:0032332,positive regulation of chondrocyte differentiation,biological_process,2,18
BP,GO:0032348,negative regulation of aldosterone biosynthetic process,biological_process,1,5
BP,GO:0032355,response to estradiol,biological_process,2,102
BP,GO:0032364,oxygen homeostasis,biological_process,2,12
BP,GO:0032367,intracellular cholesterol transport,biological_process,2,17
BP,GO:0032369,negative regulation of lipid transport,biological_process,1,5
BP,GO:0032375,negative regulation of cholesterol transport,biological_process,1,5
BP,GO:0032376,positive regulation of cholesterol transport,biological_process,1,5
BP,GO:0032388,positive regulation of intracellular transport,biological_process,1,10
BP,GO:0032392,DNA geometric change,biological_process,2,14
BP,GO:0032402,melanosome transport,biological_process,2,17
BP,GO:0032418,lysosome localization,biological_process,1,29
BP,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,biological_process,2,21
BP,GO:0032435,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,biological_process,2,37
BP,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,biological_process,2,91
BP,GO:0032438,melanosome organization,biological_process,2,24
BP,GO:0032456,endocytic recycling,biological_process,2,74
BP,GO:0032465,regulation of cytokinesis,biological_process,2,40
BP,GO:0032466,negative regulation of cytokinesis,biological_process,1,5
BP,GO:0032467,positive regulation of cytokinesis,biological_process,2,31
BP,GO:0032469,endoplasmic reticulum calcium ion homeostasis,biological_process,2,28
BP,GO:0032479,regulation of type I interferon production,biological_process,2,18
BP,GO:0032480,negative regulation of type I interferon production,biological_process,2,42
BP,GO:0032481,positive regulation of type I interferon production,biological_process,2,59
BP,GO:0032482,Rab protein signal transduction,biological_process,1,9
BP,GO:0032483,regulation of Rab protein signal transduction,biological_process,1,5
BP,GO:0032484,Ral protein signal transduction,biological_process,1,6
BP,GO:0032486,Rap protein signal transduction,biological_process,1,14
BP,GO:0032489,regulation of Cdc42 protein signal transduction,biological_process,2,18
BP,GO:0032496,response to lipopolysaccharide,biological_process,2,130
BP,GO:0032497,detection of lipopolysaccharide,biological_process,1,5
BP,GO:0032502,developmental process,biological_process,2,44
BP,GO:0032509,endosome transport via multivesicular body sorting pathway,biological_process,1,7
BP,GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,biological_process,1,11
BP,GO:0032526,response to retinoic acid,biological_process,2,45
BP,GO:0032543,mitochondrial translation,biological_process,2,90
BP,GO:0032570,response to progesterone,biological_process,2,38
BP,GO:0032649,regulation of interferon-gamma production,biological_process,2,15
BP,GO:0032651,regulation of interleukin-1 beta production,biological_process,1,6
BP,GO:0032675,regulation of interleukin-6 production,biological_process,2,19
BP,GO:0032680,regulation of tumor necrosis factor production,biological_process,2,16
BP,GO:0032682,negative regulation of chemokine production,biological_process,1,9
BP,GO:0032688,negative regulation of interferon-beta production,biological_process,2,26
BP,GO:0032689,negative regulation of interferon-gamma production,biological_process,2,40
BP,GO:0032691,negative regulation of interleukin-1 beta production,biological_process,2,30
BP,GO:0032692,negative regulation of interleukin-1 production,biological_process,1,7
BP,GO:0032693,negative regulation of interleukin-10 production,biological_process,2,16
BP,GO:0032695,negative regulation of interleukin-12 production,biological_process,2,18
BP,GO:0032700,negative regulation of interleukin-17 production,biological_process,1,11
BP,GO:0032703,negative regulation of interleukin-2 production,biological_process,1,17
BP,GO:0032715,negative regulation of interleukin-6 production,biological_process,2,37
BP,GO:0032717,negative regulation of interleukin-8 production,biological_process,2,23
BP,GO:0032720,negative regulation of tumor necrosis factor production,biological_process,2,56
BP,GO:0032722,positive regulation of chemokine production,biological_process,2,41
BP,GO:0032725,positive regulation of granulocyte macrophage colony-stimulating factor production,biological_process,1,7
BP,GO:0032727,positive regulation of interferon-alpha production,biological_process,2,34
BP,GO:0032728,positive regulation of interferon-beta production,biological_process,2,44
BP,GO:0032729,positive regulation of interferon-gamma production,biological_process,2,83
BP,GO:0032731,positive regulation of interleukin-1 beta production,biological_process,2,65
BP,GO:0032732,positive regulation of interleukin-1 production,biological_process,2,20
BP,GO:0032733,positive regulation of interleukin-10 production,biological_process,2,36
BP,GO:0032735,positive regulation of interleukin-12 production,biological_process,2,34
BP,GO:0032736,positive regulation of interleukin-13 production,biological_process,2,24
BP,GO:0032740,positive regulation of interleukin-17 production,biological_process,2,31
BP,GO:0032743,positive regulation of interleukin-2 production,biological_process,2,52
BP,GO:0032747,positive regulation of interleukin-23 production,biological_process,1,6
BP,GO:0032753,positive regulation of interleukin-4 production,biological_process,2,28
BP,GO:0032754,positive regulation of interleukin-5 production,biological_process,2,12
BP,GO:0032755,positive regulation of interleukin-6 production,biological_process,2,92
BP,GO:0032757,positive regulation of interleukin-8 production,biological_process,2,71
BP,GO:0032760,positive regulation of tumor necrosis factor production,biological_process,2,135
BP,GO:0032780,negative regulation of ATPase activity,biological_process,1,5
BP,GO:0032781,positive regulation of ATPase activity,biological_process,1,10
BP,GO:0032782,bile acid secretion,biological_process,1,5
BP,GO:0032786,"positive regulation of DNA-templated transcription, elongation",biological_process,1,5
BP,GO:0032787,monocarboxylic acid metabolic process,biological_process,1,13
BP,GO:0032790,ribosome disassembly,biological_process,1,16
BP,GO:0032801,receptor catabolic process,biological_process,2,14
BP,GO:0032814,regulation of natural killer cell activation,biological_process,1,8
BP,GO:0032819,positive regulation of natural killer cell proliferation,biological_process,1,9
BP,GO:0032825,positive regulation of natural killer cell differentiation,biological_process,1,5
BP,GO:0032835,glomerulus development,biological_process,2,15
BP,GO:0032836,glomerular basement membrane development,biological_process,1,6
BP,GO:0032868,response to insulin,biological_process,2,64
BP,GO:0032869,cellular response to insulin stimulus,biological_process,2,126
BP,GO:0032870,cellular response to hormone stimulus,biological_process,2,54
BP,GO:0032872,regulation of stress-activated MAPK cascade,biological_process,1,14
BP,GO:0032873,negative regulation of stress-activated MAPK cascade,biological_process,1,10
BP,GO:0032874,positive regulation of stress-activated MAPK cascade,biological_process,2,17
BP,GO:0032880,regulation of protein localization,biological_process,2,71
BP,GO:0032886,regulation of microtubule-based process,biological_process,2,16
BP,GO:0032897,negative regulation of viral transcription,biological_process,2,18
BP,GO:0032905,transforming growth factor beta1 production,biological_process,1,6
BP,GO:0032909,regulation of transforming growth factor beta2 production,biological_process,1,5
BP,GO:0032922,circadian regulation of gene expression,biological_process,2,79
BP,GO:0032924,activin receptor signaling pathway,biological_process,2,30
BP,GO:0032926,negative regulation of activin receptor signaling pathway,biological_process,2,19
BP,GO:0032930,positive regulation of superoxide anion generation,biological_process,2,27
BP,GO:0032933,SREBP signaling pathway,biological_process,1,5
BP,GO:0032940,secretion by cell,biological_process,1,6
BP,GO:0032956,regulation of actin cytoskeleton organization,biological_process,2,103
BP,GO:0032963,collagen metabolic process,biological_process,2,13
BP,GO:0032964,collagen biosynthetic process,biological_process,2,16
BP,GO:0032966,negative regulation of collagen biosynthetic process,biological_process,2,17
BP,GO:0032967,positive regulation of collagen biosynthetic process,biological_process,2,37
BP,GO:0032968,positive regulation of transcription elongation from RNA polymerase II promoter,biological_process,2,61
BP,GO:0032981,mitochondrial respiratory chain complex I assembly,biological_process,1,22
BP,GO:0033014,tetrapyrrole biosynthetic process,biological_process,1,5
BP,GO:0033044,regulation of chromosome organization,biological_process,2,30
BP,GO:0033077,T cell differentiation in thymus,biological_process,1,12
BP,GO:0033119,negative regulation of RNA splicing,biological_process,1,7
BP,GO:0033120,positive regulation of RNA splicing,biological_process,2,16
BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,biological_process,2,26
BP,GO:0033144,negative regulation of intracellular steroid hormone receptor signaling pathway,biological_process,1,6
BP,GO:0033146,regulation of intracellular estrogen receptor signaling pathway,biological_process,1,8
BP,GO:0033147,negative regulation of intracellular estrogen receptor signaling pathway,biological_process,2,16
BP,GO:0033148,positive regulation of intracellular estrogen receptor signaling pathway,biological_process,2,11
BP,GO:0033151,V(D)J recombination,biological_process,1,6
BP,GO:0033152,immunoglobulin V(D)J recombination,biological_process,1,6
BP,GO:0033173,calcineurin-NFAT signaling cascade,biological_process,2,21
BP,GO:0033189,response to vitamin A,biological_process,1,8
BP,GO:0033197,response to vitamin E,biological_process,1,7
BP,GO:0033198,response to ATP,biological_process,2,18
BP,GO:0033209,tumor necrosis factor-mediated signaling pathway,biological_process,2,87
BP,GO:0033210,leptin-mediated signaling pathway,biological_process,1,5
BP,GO:0033234,negative regulation of protein sumoylation,biological_process,1,7
BP,GO:0033235,positive regulation of protein sumoylation,biological_process,1,11
BP,GO:0033280,response to vitamin D,biological_process,2,24
BP,GO:0033314,mitotic DNA replication checkpoint signaling,biological_process,1,5
BP,GO:0033344,cholesterol efflux,biological_process,2,25
BP,GO:0033353,S-adenosylmethionine cycle,biological_process,1,5
BP,GO:0033386,geranylgeranyl diphosphate biosynthetic process,biological_process,1,7
BP,GO:0033489,cholesterol biosynthetic process via desmosterol,biological_process,2,23
BP,GO:0033490,cholesterol biosynthetic process via lathosterol,biological_process,2,23
BP,GO:0033499,galactose catabolic process via UDP-galactose,biological_process,1,6
BP,GO:0033539,fatty acid beta-oxidation using acyl-CoA dehydrogenase,biological_process,1,9
