ontology,go_id,go_name,root_node,n_chips,total_probe_memberships
BP,GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process,1,7
BP,GO:0000470,maturation of LSU-rRNA,biological_process,1,11
BP,GO:0000492,box C/D snoRNP assembly,biological_process,1,8
BP,GO:0000712,resolution of meiotic recombination intermediates,biological_process,1,6
BP,GO:0000722,telomere maintenance via recombination,biological_process,1,5
BP,GO:0000723,telomere maintenance,biological_process,2,71
BP,GO:0000724,double-strand break repair via homologous recombination,biological_process,2,100
BP,GO:0000727,double-strand break repair via break-induced replication,biological_process,1,8
BP,GO:0000729,DNA double-strand break processing,biological_process,2,16
BP,GO:0000730,DNA recombinase assembly,biological_process,1,5
BP,GO:0000731,DNA synthesis involved in DNA repair,biological_process,1,8
BP,GO:0000902,cell morphogenesis,biological_process,2,69
BP,GO:0000956,nuclear-transcribed mRNA catabolic process,biological_process,2,28
BP,GO:0000963,mitochondrial RNA processing,biological_process,1,5
BP,GO:0001111,promoter clearance from RNA polymerase II promoter,biological_process,1,7
BP,GO:0001188,RNA polymerase I preinitiation complex assembly,biological_process,2,13
BP,GO:0001501,skeletal system development,biological_process,2,111
BP,GO:0001502,cartilage condensation,biological_process,1,8
BP,GO:0001503,ossification,biological_process,2,98
BP,GO:0001504,neurotransmitter uptake,biological_process,2,15
BP,GO:0001508,action potential,biological_process,2,27
BP,GO:0001510,RNA methylation,biological_process,1,22
BP,GO:0001514,selenocysteine incorporation,biological_process,1,6
BP,GO:0001516,prostaglandin biosynthetic process,biological_process,2,19
BP,GO:0001522,pseudouridine synthesis,biological_process,1,9
BP,GO:0001523,retinoid metabolic process,biological_process,2,46
BP,GO:0001525,angiogenesis,biological_process,2,279
BP,GO:0001541,ovarian follicle development,biological_process,2,32
BP,GO:0001556,oocyte maturation,biological_process,2,12
BP,GO:0001558,regulation of cell growth,biological_process,2,70
BP,GO:0001568,blood vessel development,biological_process,2,34
BP,GO:0001569,branching involved in blood vessel morphogenesis,biological_process,2,17
BP,GO:0001570,vasculogenesis,biological_process,2,34
BP,GO:0001578,microtubule bundle formation,biological_process,2,25
BP,GO:0001580,detection of chemical stimulus involved in sensory perception of bitter taste,biological_process,1,10
BP,GO:0001649,osteoblast differentiation,biological_process,2,143
BP,GO:0001654,eye development,biological_process,2,47
BP,GO:0001655,urogenital system development,biological_process,1,7
BP,GO:0001656,metanephros development,biological_process,2,18
BP,GO:0001657,ureteric bud development,biological_process,2,39
BP,GO:0001658,branching involved in ureteric bud morphogenesis,biological_process,2,26
BP,GO:0001659,temperature homeostasis,biological_process,1,17
BP,GO:0001662,behavioral fear response,biological_process,1,8
BP,GO:0001666,response to hypoxia,biological_process,2,192
BP,GO:0001675,acrosome assembly,biological_process,2,13
BP,GO:0001676,long-chain fatty acid metabolic process,biological_process,2,28
BP,GO:0001678,cellular glucose homeostasis,biological_process,2,36
BP,GO:0001682,tRNA 5'-leader removal,biological_process,2,16
BP,GO:0001701,in utero embryonic development,biological_process,2,34
BP,GO:0001704,formation of primary germ layer,biological_process,1,5
BP,GO:0001707,mesoderm formation,biological_process,1,7
BP,GO:0001708,cell fate specification,biological_process,2,15
BP,GO:0001709,cell fate determination,biological_process,1,8
BP,GO:0001711,endodermal cell fate commitment,biological_process,1,6
BP,GO:0001731,formation of translation preinitiation complex,biological_process,1,8
